words,parts,lemma,pos,feats,deps,head,,
%,круглые,КРУГЛЫЙ,ADJ,Animacy=Inan|Case=Acc|Degree=Pos|Number=Plur,amod,-1,,
%,сутки,СУТКИ,NOUN,Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur,obl,0,,
##,,,,,,,,
во многом,ADV,,,,,,,
%,во,ВО,ADP,_,case,-1,,
%,многом,МНОГОЕ,NOUN,Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing,obl,0,,
##,,,,,,,,
в корне,ADV,,,,,,,
%,в,В,ADP,_,case,-1,,
%,корне,КОРЕНЬ,NOUN,Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing,obl,0,,
##,,,,,,,,
ну вот,INTJ,,,,,,,
%,ну,НУ,PART,_,discourse,-1,,
%,вот,ВОТ,PART,_,advmod,0,,
##,,,,,,,,
изо всех сил,ADV,,,,,,,
%,изо,ИЗО,ADP,_,case,-2,,
%,всех,ВЕСЬ,DET,Case=Gen|Number=Plur,det,-1,,
%,сил,СИЛА,NOUN,Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur,obl,0,,
##,,,,,,,,
не известно,ADV,,,,,,,
%,не,НЕ,PART,Polarity=Neg,advmod,-1,,
%,известно,ИЗВЕСТНО,ADJ,Degree=Pos|Gender=Neut|Number=Sing|Variant=Short,conj,0,,
##,,,,,,,,
да и,CCONJ,,,,,,,
%,да,ДА,CCONJ,_,cc,0,,
%,и,И,CCONJ,_,fixed,1,,
##,,,,,,,,
вроде бы,W,,,,,,,
%,вроде,ВРОДЕ,ADV,Degree=Pos,parataxis,0,,
%,бы,БЫ,PART,_,flat:name,1,,
##,,,,,,,,
понятное дело,ADV,,,,,,,
%,понятное,ПОНЯТНЫЙ,ADJ,Case=Nom|Degree=Pos|Gender=Neut|Number=Sing,amod,-1,,
%,дело,ДЕЛО,NOUN,Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing,parataxis,0,,
##,,,,,,,,
спору нет,W,,,,,,,
%,спору,СПОР,NOUN,Animacy=Inan|Case=Par|Gender=Masc|Number=Sing,nsubj,-1,,
%,нет,НЕТ,VERB,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,parataxis,0,,
##,,,,,,,,
больше всего,W,,,,,,,
%,больше,МНОГО,ADV,Degree=Cmp,advmod,0,,
%,всего,ВСЕ,PRON,Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing,obl,1,,
##,,,,,,,,
иными словами,W,,,,,,,
%,иными,ИНОЙ,ADJ,Case=Ins|Degree=Pos|Number=Plur,amod,-1,,
%,словами,СЛОВО,NOUN,Animacy=Inan|Case=Ins|Gender=Neut|Number=Plur,obl,0,,
##,,,,,,,,
черт знает,PART,,,,,,,
%,черт,ЧЕРТ,NOUN,Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing,nsubj,-1,,
%,знает,ЗНАТЬ,VERB,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,advcl,0,,
##,,,,,,,,
в открытую,ADV,,,,,,,
%,в,В,ADP,_,case,-1,,
%,открытую,ОТКРЫТЫЙ,ADJ,Case=Acc|Degree=Pos|Gender=Fem|Number=Sing,obl,0,,
##,,,,,,,,
как видно,ADV,,,,,,,
%,как,КАК,SCONJ,_,mark,-1,,
%,видно,ВИДНО,ADV,Degree=Pos,parataxis,0,,
##,,,,,,,,
тем временем,ADV,,,,,,,
%,тем,ТОТ,DET,Case=Ins|Gender=Neut|Number=Sing,det,-1,,
%,временем,ВРЕМЯ,NOUN,Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing,obl,0,,
##,,,,,,,,
в лучшем случае,W,,,,,,,
%,в,В,ADP,_,case,-2,,
%,лучшем,ЛУЧШИЙ,ADJ,Case=Loc|Degree=Pos|Gender=Masc|Number=Sing,amod,-1,,
%,случае,СЛУЧАЙ,NOUN,Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing,obl,0,,
##,,,,,,,,
когда же,SCONJ,,,,,,,
%,когда,КОГДА,SCONJ,_,mark,0,,
%,же,ЖЕ,ADP,_,advmod,0,,
##,,,,,,,,
помимо прочего,W,,,,,,,
%,помимо,ПОМИМО,ADP,_,case,-1,,
%,прочего,ПРОЧИЙ,ADJ,Case=Gen|Degree=Pos|Gender=Masc|Number=Sing,parataxis,0,,
##,,,,,,,,
в тягость,ADJ,,,,,,,
%,в,В,ADP,_,case,-1,,
%,тягость,ТЯГОСТЬ,NOUN,Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing,obl,0,,
##,,,,,,,,
в любом случае,W,,,,,,,
%,в,В,ADP,_,case,-2,,
%,любом,ЛЮБОЙ,ADJ,Case=Loc|Degree=Pos|Gender=Masc|Number=Sing,amod,-1,,
%,случае,СЛУЧАЙ,NOUN,Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing,obl,0,,
##,,,,,,,,
а также и,CCONJ,,,,,,,
%,а,А,CCONJ,_,cc,0,,
%,также,ТАКЖЕ,ADV,Degree=Pos,advmod,-1,,
%,и,И,CCONJ,_,advmod,0,,
##,,,,,,,,
"более, чем",ADV,,,,,-1,,
%,более,более,ADV,Degree=Cmp,case,0,,
%,",",",",PUNCT,_,punct,1,,
%,чем,чем,SCOONJ,_,fixed,2,,
##,,,,,,,,
все еще,ADV,,,,,,,
%,все,ВСЁ,PART,_,advmod,-1,,
%,еще,ЕЩЁ,ADV,Degree=Pos,advmod,0,,
##,,,,,,,,
должно быть,W,,,,,,,
%,должно,ДОЛЖЕН,ADJ,Degree=Pos|Gender=Neut|Number=Sing|Variant=Short,parataxis,0,,
%,быть,БЫТЬ,VERB,Aspect=Imp|VerbForm=Inf|Voice=Act,xcomp,1,,
##,,,,,,,,
по силам,ADV,,,,,,,
%,по,ПО,ADP,_,case,-1,,
%,силам,СИЛА,NOUN,Animacy=Inan|Case=Dat|Gender=Fem|Number=Plur,root,0,,
##,,,,,,,,
помимо того,W,,,,,,,
%,помимо,ПОМИМО,ADP,_,case,-1,,
%,того,ТО,PRON,Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing,parataxis,0,,
##,,,,,,,,
аналогичным образом,ADJ,,,,,,,
%,аналогичным,АНАЛОГИЧНЫЙ,ADJ,Case=Ins|Degree=Pos|Gender=Masc|Number=Sing,amod,-1,,
%,образом,ОБРАЗ,NOUN,Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing,obl,0,,
##,,,,,,,,
более того,W,,,,,,,
%,более,БОЛЕЕ,ADV,Degree=Cmp,advmod,-1,,
%,того,ТО,PRON,Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing,obl,0,,
##,,,,,,,,
помимо всего прочего,W,,,,,,,
%,помимо,ПОМИМО,ADP,_,case,-2,,
%,всего,ВЕСЬ,DET,Case=Gen|Gender=Masc|Number=Sing,det,-1,,
%,прочего,ПРОЧИЙ,ADJ,Case=Gen|Degree=Pos|Gender=Masc|Number=Sing,parataxis,0,,
##,,,,,,,,
год от года,ADV,,,,,,,
%,год,ГОД,NOUN,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing,obl,0,,
%,от,ОТ,ADP,_,case,-1,,
%,года,ГОД,NOUN,Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing,nmod,2,,
##,,,,,,,,
так или иначе,W,,,,,,,
%,так,ТАК,ADV,Degree=Pos,parataxis,0,,
%,или,ИЛИ,CCONJ,_,cc,-1,,
%,иначе,ИНАЧЕ,ADV,Degree=Pos,conj,2,,
##,,,,,,,,
так сказать,W,,,,,,,
%,так,ТАК,ADV,Degree=Pos,advmod,-1,,
%,сказать,СКАЗАТЬ,VERB,Aspect=Perf|VerbForm=Inf|Voice=Act,parataxis,0,,
##,,,,,,,,
кроме всего прочего,W,,,,,,,
%,кроме,КРОМЕ,ADP,_,case,-2,,
%,всего,ВЕСЬ,DET,Case=Gen|Gender=Masc|Number=Sing,det,-1,,
%,прочего,ПРОЧИЙ,ADJ,Case=Gen|Degree=Pos|Gender=Masc|Number=Sing,parataxis,0,,
##,,,,,,,,
к слову,W,,,,,,,
%,к,К,ADP,_,case,-1,,
%,слову,СЛОВО,NOUN,Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing,parataxis,0,,
##,,,,,,,,
по факту,ADV,,,,,,,
%,по,ПО,ADP,_,case,-1,,
%,факту,ФАКТ,NOUN,Animacy=Inan|Case=Dat|Gender=Masc|Number=Sing,parataxis,0,,
##,,,,,,,,
в пределах,ADV,,,,,,,
%,в,В,ADP,_,case,-1,,
%,пределах,ПРЕДЕЛ,NOUN,Animacy=Inan|Case=Loc|Gender=Masc|Number=Plur,obl,0,,
##,,,,,,,,
ни с того ни с сего,ADV,,,,,,,
%,ни,НИ,CCONJ,Polarity=Neg,cc,-2,,
%,с,С,ADP,_,case,-1,,
%,того,ТО,PRON,Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing,nmod,0,,
%,ни,НИ,CCONJ,Polarity=Neg,cc,-2,,
%,с,С,ADP,_,case,-1,,
%,сего,СЕЙ,DET,Case=Gen|Gender=Masc|Number=Sing,det,3,,
##,,,,,,,,
более или менее,ADV,,,,,,,
%,более,БОЛЕЕ,ADV,Degree=Cmp,advmood,0,,
%,или,ИЛИ,CCONJ,_,fixed,-1,,
%,менее,МЕНЕЕ,ADV,Degree=Cmp,fixed,2,,
##,,,,,,,,
по сути,W,,,,,,,
%,по,ПО,ADP,_,case,-1,,
%,сути,СУТЬ,NOUN,Animacy=Inan|Case=Dat|Gender=Fem|Number=Sing,parataxis,0,,
##,,,,,,,,
по сути дела,W,,,,,,,
%,по,ПО,ADP,_,case,-1,,
%,сути,СУТЬ,NOUN,Animacy=Inan|Case=Dat|Gender=Fem|Number=Sing,parataxis,0,,
%,дела,ДЕЛО,NOUN,Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing,nmod,1,,
##,,,,,,,,
в лоб,ADV,,,,,,,
%,в,В,ADP,_,case,-1,,
%,лоб,ЛОБ,NOUN,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing,obl,0,,
##,,,,,,,,
и подавно,ADV,,,,,,,
%,и,И,CCONJ,_,fixed,-1,,
%,подавно,ПОДАВНО,ADV,Degree=Pos,advmod,0,,
##,,,,,,,,
самое главное,W,,,,,,,
%,самое,САМЫЙ,ADJ,Case=Nom|Degree=Pos|Gender=Neut|Number=Sing,amod,-1,,
%,главное,ГЛАВНЫЙ,ADJ,Case=Nom|Degree=Pos|Gender=Neut|Number=Sing,root,0,,
##,,,,,,,,
в помине,ADV,,,,,,,
%,в,В,ADP,_,case,-1,,
%,помине,ПОМИН,NOUN,Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing,obl,0,,
##,,,,,,,,
как ни в чем не бывало,ADV,,,,,,,
%,как,КАК,SCONJ,_,mark,-5,,
%,ни,НИ,PART,Polarity=Neg,advmod,-2,,
%,в,В,ADP,_,case,-1,,
%,чем,ЧТО,PRON,Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing,obl,-2,,
%,не,НЕ,PART,Polarity=Neg,advmod,-1,,
%,бывало,БЫВАТЬ,VERB,Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,advcl,0,,
##,,,,,,,,
в обход,ADV,,,,,,,
%,в,В,ADP,_,case,-1,,
%,обход,ОБХОД,NOUN,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing,obl,0,,
##,,,,,,,,
и пр,W,,,,,,,
%,и,И,CCONJ,_,cc,-1,,
%,пр.,ПРОЧИЙ,ADJ,Case=Nom|Degree=Pos|Gender=Neut|Number=Sing,conj,0,,
##,,,,,,,,
и пр.,W,,,,,,,
%,и,И,CCONJ,_,cc,-1,,
%,пр.,ПРОЧИЙ,ADJ,Case=Nom|Degree=Pos|Gender=Neut|Number=Sing,conj,0,,
##,,,,,,,,
в меру,ADV,,,,,,,
%,в,В,ADP,_,case,-1,,
%,меру,МЕРА,NOUN,Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing,obl,0,,
##,,,,,,,,
друг за другом,ADV,,,,,,,
%,друг,ДРУГ,PRON,Case=Nom,obl,0,,
%,за,ЗА,ADP,_,fixed,1,,
%,другом,ДРУГ,PRON,Case=Ins,fixed,2,,
##,,,,,,,,
то и дело,ADV,,,,,,,
%,то,ТОТ,DET,Case=Nom|Gender=Neut|Number=Sing,det,-2,,
%,и,И,PART,_,advmod,-1,,
%,дело,ДЕЛО,NOUN,Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing,obl,0,,
##,,,,,,,,
из года в год,ADV,,,,,,,
%,из,ИЗ,ADP,_,case,-1,,
%,года,ГОД,NOUN,Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing,obl,0,,
%,в,В,ADP,_,case,-1,,
%,год,ГОД,NOUN,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing,nmod,2,,
##,,,,,,,,
ух ты,INTJ,,,,,,,
%,ух,УХ,INTJ,_,parataxis,0,,
%,ты,ТЫ,PRON,Case=Nom|Number=Sing|Person=2,flat:name,1,,
##,,,,,,,,
в дальнейшем,ADV,,,,,,,
%,в,В,ADP,_,case,-1,,
%,дальнейшем,ДАЛЬНЕЙШИЙ,ADJ,Case=Loc|Degree=Pos|Gender=Neut|Number=Sing,obl,0,,
##,,,,,,,,
само собой,ADV,,,,,,,
%,само,САМ,ADJ,Case=Nom|Degree=Pos|Gender=Neut|Number=Sing,acl,0,,
%,собой,СЕБЯ,PRON,Case=Ins,fixed,1,,
##,,,,,,,,
только что,ADV,,,,,,,
%,только,ТОЛЬКО,PART,_,advmod,0,,
%,что,ЧТО,SCONJ,_,fixed,1,,
##,,,,,,,,
короче говоря,W,,,,,,,
%,короче,КОРОТКО,ADV,Degree=Cmp,advmod,-1,,
%,говоря,ГОВОРИТЬ,VERB,Aspect=Imp|Tense=Pres|VerbForm=Conv|Voice=Act,parataxis,0,,
##,,,,,,,,
в сущности,W,,,,,,,
%,в,В,ADP,_,case,-1,,
%,сущности,СУЩНОСТЬ,NOUN,Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing,parataxis,0,,
##,,,,,,,,
днем и ночью,ADV,,,,,,,
%,днем,ДЕНЬ,NOUN,Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing,obl,0,,
%,и,И,CCONJ,_,cc,-1,,
%,ночью,НОЧЬ,NOUN,Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing,conj,2,,
##,,,,,,,,
на дому,ADV,,,,,,,
%,на,НА,ADP,_,case,-1,,
%,дому,ДОМ,NOUN,Animacy=Inan|Case=Par|Gender=Masc|Number=Sing,obl,0,,
##,,,,,,,,
всеми силами,ADV,,,,,,,
%,всеми,ВЕСЬ,DET,Case=Ins|Number=Plur,det,-1,,
%,силами,СИЛА,NOUN,Animacy=Inan|Case=Ins|Gender=Fem|Number=Plur,obl,0,,
##,,,,,,,,
для начала,ADV,,,,,,,
%,для,ДЛЯ,ADP,_,case,-1,,
%,начала,НАЧАЛО,NOUN,Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing,obl,0,,
##,,,,,,,,
еще бы,W,,,,,,,
%,еще,ЕЩЁ,ADV,Degree=Pos,advmod,0,,
%,бы,БЫ,AUX,Mood=Cnd,fixed,1,,
##,,,,,,,,
в общем,W,,,,,,,
%,в,В,ADP,_,case,-1,,
%,общем,ОБЩИЙ,ADJ,Case=Loc|Degree=Pos|Gender=Neut|Number=Sing,parataxis,0,,
##,,,,,,,,
в довершение всего,W,,,,,,,
%,в,В,ADP,_,case,-1,,
%,довершение,ДОВЕРШЕНИЕ,NOUN,Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing,nmod,0,,
%,всего,ВСЁ,PRON,Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing,nmod,1,,
##,,,,,,,,
под силу,ADV,,,,,,,
%,под,ПОД,ADP,_,case,-1,,
%,силу,СИЛА,NOUN,Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing,root,0,,
##,,,,,,,,
в упор,ADV,,,,,,,
%,в,В,ADP,_,case,-1,,
%,упор,УПОР,NOUN,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing,obl,0,,
##,,,,,,,,
в своем роде,W,,,,,,,
%,в,В,ADP,_,case,-2,,
%,своем,СВОЙ,DET,Case=Loc|Gender=Masc|Number=Sing,det,-1,,
%,роде,РОД,NOUN,Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing,obl,0,,
##,,,,,,,,
в последующем,ADV,,,,,,,
%,в,В,ADP,_,case,-1,,
%,последующем,ПОСЛЕДУЮЩИЙ,ADJ,Case=Loc|Degree=Pos|Gender=Neut|Number=Sing,obl,0,,
##,,,,,,,,
в унисон,ADV,,,,,,,
%,в,В,ADP,_,case,-1,,
%,унисон,УНИСОН,NOUN,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing,obl,0,,
##,,,,,,,,
