words,parts,lemma,pos,feats,deps,head,,
ей богу,PART,,,,,,,
%,Ей,ЕЙ,INTJ,_,discourse,0,,
%,богу,БОГ,NOUN,Animacy=Anim|Case=Dat|Gender=Masc|Number=Sing,fixed,1,,
##,,,,,,,,
за исключением,ADP,,,,,,,
%,за,ЗА,ADP,_,case,0,,
%,исключением,ИСКЛЮЧЕНИЕ,NOUN,Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing,fixed,1,,
##,,,,,,,,
за рубежом,ADV Degree=Pos,,,,,,,
%,за,ЗА,ADP,_,advmod,0,,
%,рубежом,РУБЕЖ,NOUN,Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing,fixed,1,,
##,,,,,,,,
за счет,ADP,,,,,,,
%,за,ЗА,ADP,_,case,0,,
%,счет,СЧЕТ,NOUN,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing,fixed,1,,
##,,,,,,,,
как будто,SCONJ,,,,,,,
%,как,КАК,SCONJ,_,mark,0,,
%,будто,БУДТО,PART,_,fixed,1,,
##,,,,,,,,
как будто,PART,,,,,,,
%,как,КАК,ADV,Degree=Pos,advmod,0,,
%,будто,БУДТО,PART,_,fixed,1,,
##,,,,,,,,
как бы,PART,,,,,,,
%,как,КАК,ADV,Degree=Pos,advmod,0,,
%,бы,БЫ,PART,_,fixed,1,,
##,,,,,,,,
как бы то ни было,ADV Degree=Pos,,,,,,,
%,как,КАК,SCONJ,_,parataxis,0,,
%,бы,БЫ,PART,_,fixed,1,,
%,то,ТО,PRON,Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing,fixed,2,,
%,ни,НИ,PART,Polarity=Neg,fixed,3,,
%,было,БЫТЬ,VERB,Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,fixed,4,,
##,,,,,,,,
как если бы,SCONJ,,,,,,,
%,как,КАК,SCONJ,_,mark,0,,
%,если,ЕСЛИ,SCONJ,_,fixed,1,,
%,бы,БЫ,PART,_,fixed,1,,
##,,,,,,,,
как минимум,ADV Degree=Pos,,,,,,,
%,как,КАК,SCONJ,_,advmod,0,,
%,минимум,МИНИМУМ,NOUN,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing,fixed,1,,
##,,,,,,,,
как раз,ADV Degree=Pos,,,,,,,
%,как,КАК,SCONJ,_,advmod,0,,
%,раз,РАЗ,NOUN,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing,fixed,1,,
##,,,,,,,,
как раз,PART,,,,,,,
%,как,КАК,SCONJ,_,advmod,0,,
%,раз,РАЗ,NOUN,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing,fixed,1,,
##,,,,,,,,
как только,SCONJ,,,,,,,
%,как,КАК,SCONJ,_,mark,0,,
%,только,ТОЛЬКО,PART,_,fixed,1,,
##,,,,,,,,
каких бы то ни было,ADJ Case=Gen|Degree=Pos|Number=Plur,,,,,,,
%,каких,КАКОЙ,DET,Case=Gen|Number=Plur,amod,0,,
%,бы,БЫ,PART,_,fixed,-3,,
%,то,ТО,PRON,Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing,fixed,-2,,
%,ни,НИ,PART,Polarity=Neg,fixed,-1,,
%,было,БЫТЬ,VERB,Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,fixed,4,,
##,,,,,,,,
какие бы то ни было,ADJ Case=Nom|Degree=Pos|Number=Plur,,,,,,,
%,какие,КАКОЙ,DET,Case=Nom|Number=Plur,amod,0,,
%,бы,БЫ,PART,_,fixed,-3,,
%,то,ТО,PRON,Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing,fixed,-2,,
%,ни,НИ,PART,Polarity=Neg,fixed,-1,,
%,было,БЫТЬ,VERB,Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,fixed,4,,
##,,,,,,,,
какого бы то ни было,ADJ Case=Gen|Degree=Pos|Gender=Neut|Number=Sing,,,,,,,
%,какого,КАКОЙ,DET,Case=Gen|Gender=Neut|Number=Sing,amod,0,,
%,бы,БЫ,PART,_,fixed,-3,,
%,то,ТО,PRON,Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing,fixed,-2,,
%,ни,НИ,PART,Polarity=Neg,fixed,-1,,
%,было,БЫТЬ,VERB,Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,fixed,4,,
##,,,,,,,,
какой бы то ни было,ADJ Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing,,,,,,,
%,какой,КАКОЙ,DET,Case=Acc|Degree=Pos|Number=Plur,amod,0,,
%,бы,БЫ,PART,_,fixed,-3,,
%,то,ТО,PRON,Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing,fixed,-2,,
%,ни,НИ,PART,Polarity=Neg,fixed,-1,,
%,было,БЫТЬ,VERB,Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,fixed,4,,
##,,,,,,,,
какую бы то ни было,ADJ Case=Acc|Degree=Pos|Gender=Fem|Number=Sing,,,,,,,
%,какую,КАКОЙ,DET,Case=Acc|Gender=Masc|Number=Sing,amod,0,,
%,бы,БЫ,PART,_,fixed,-3,,
%,то,ТО,PRON,Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing,fixed,-2,,
%,ни,НИ,PART,Polarity=Neg,fixed,-1,,
%,было,БЫТЬ,VERB,Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,fixed,4,,
##,,,,,,,,
коль скоро,SCONJ,,,,,,,
%,коль,КОЛЬ,SCONJ,_,mark,0,,
%,скоро,СКОРО,ADV,Degree=Pos,fixed,1,,
##,,,,,,,,
кто бы то ни было,NOUN Animacy=Anim|Case=Dat|Gender=Masc|Number=Sing,,,,,,,
%,кому,КТО,PRON,Animacy=Anim|Case=Dat|Gender=Masc|Number=Sing,%,0,,
%,бы,БЫ,PART,_,fixed,-3,,
%,то,ТО,PRON,Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing,fixed,-2,,
%,ни,НИ,PART,Polarity=Neg,fixed,-1,,
%,было,БЫТЬ,VERB,Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,fixed,4,,
##,,,,,,,,
кто бы то ни было,NOUN Animacy=Anim|Case=Ins|Gender=Masc|Number=Sing,,,,,,,
%,кем,КТО,PRON,Animacy=Anim|Case=Ins|Gender=Masc|Number=Sing,%,0,,
%,бы,БЫ,PART,_,fixed,-3,,
%,то,ТО,PRON,Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing,fixed,-2,,
%,ни,НИ,PART,Polarity=Neg,fixed,-1,,
%,было,БЫТЬ,VERB,Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,fixed,4,,
##,,,,,,,,
кто бы то ни было,NOUN Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing,,,,,,,
%,кого,КТО,PRON,Animacy=Anim|Case=Ins|Gender=Masc|Number=Sing,%,0,,
%,бы,БЫ,PART,_,fixed,-3,,
%,то,ТО,PRON,Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing,fixed,-2,,
%,ни,НИ,PART,Polarity=Neg,fixed,-1,,
%,было,БЫТЬ,VERB,Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,fixed,4,,
##,,,,,,,,
между прочим,ADV Degree=Pos,,,,,,,
%,между,МЕЖДУ,ADP,_,discourse,0,,
%,прочим,ПРОЧЕЕ,PRON,Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing,fixed,1,,
##,,,,,,,,
менее чем,ADV Degree=Pos,,,,,,,
%,менее,МЕНЕЕ,ADV,Degree=Cmp,case,0,,
%,чем,ЧЕМ,SCONJ,_,fixed,1,,
##,,,,,,,,
меньше чем,ADV Degree=Pos,,,,,,,
%,меньше,МЕНЬШЕ,ADV,Degree=Cmp,case,0,,
%,чем,ЧЕМ,SCONJ,_,fixed,1,,
##,,,,,,,,
навряд ли,ADV Degree=Pos,,,,,,,
%,навряд,ВРЯД,ADV,Degree=Pos,advmod,0,,
%,ли,ЛИ,PART,_,fixed,1,,
##,,,,,,,,
на плаву,ADV Degree=Pos,,,,,,,
%,на,НА,ADP,_,advmod,0,,
%,плаву,ПЛАВ,NOUN,Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing,fixed,1,,
##,,,,,,,,
на полпути,ADV Degree=Pos,,,,,,,
%,на,НА,ADP,_,advmod,0,,
%,полпути,ПОЛПУТИ,NOUN,Animacy=Inan|Case=Loc|Number=Plur,fixed,1,,
##,,,,,,,,
на кой черт,ADV Degree=Pos,,,,,,,
%,на,НА,ADP,_,advmod,0,,
%,кой,ПОЛПУТИ,DET,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing,fixed,1,,
%,черт,ПОЛПУТИ,NOUN,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing,fixed,2,,
##,,,,,,,,
наравне с,ADP,,,,,,,
%,наравне,НАРАВНЕ,ADV,Degree=Pos,case,0,,
%,с,С,ADP,_,fixed,1,,
##,,,,,,,,
не прочь,ADV Degree=Pos,,,,,,,
%,не,НЕ,PART,Polarity=Neg,%,0,,
%,прочь,ПРОЧЬ,ADV,Degree=Pos,fixed,1,,
##,,,,,,,,
не то,CCONJ,,,,,,,
%,не,НЕ,PART,Polarity=Neg,cc,-1,,
%,то,ТО,PRON,Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing,fixed,0,,
##,,,,,,,,
не то что,PART,,,,,,,
%,не,НЕ,PART,Polarity=Neg,advmod,-1,,
%,то,ТО,PRON,Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing,fixed,0,,
%,что,ЧТО,SCONJ,_,fixed,1,,
##,,,,,,,,
не то чтобы,PART,,,,,,,
%,не,НЕ,PART,Polarity=Neg,advmod,-1,,
%,то,ТО,PRON,Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing,fixed,0,,
%,чтобы,ЧТОБЫ,SCONJ,_,fixed,1,,
##,,,,,,,,
невзирая на,ADP,,,,,,,
%,невзирая,НЕВЗИРАЯ,ADV,Polarity=Neg,case,0,,
%,на,НА,ADP,_,fixed,1,,
##,,,,,,,,
несмотря на,ADP,,,,,,,
%,несмотря,НЕСМОТРЯ,ADV,Polarity=Neg,case,0,,
%,на,НА,ADP,_,fixed,1,,
##,,,,,,,,
нет-нет да и,PART,,,,,,,
%,нет,НЕТ,PART,Polarity=Neg,advmod,0,,
%,-,-,PUNCT,_,punct,-1,,
%,нет,НЕТ,PART,Polarity=Neg,fixed,2,,
%,да,ДА,CCONJ,_,fixed,3,,
%,и,И,PART,_,fixed,4,,
##,,,,,,,,
ни в коей мере,ADV Degree=Pos,,,,,,,
%,ни,НИ,PART,Polarity=Neg,advmod,0,,
%,в,В,ADP,_,fixed,1,,
%,коей,КОЙ,DET,Case=Loc|Gender=Fem|Number=Sing,fixed,2,,
%,мере,МЕРА,NOUN,Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing,fixed,3,,
##,,,,,,,,
ни в коем случае,ADV Degree=Pos,,,,,,,
%,ни,НИ,PART,Polarity=Neg,advmod,-1,,
%,в,В,ADP,_,fixed,0,,
%,коем,КОЙ,DET,Case=Loc|Gender=Masc|Number=Sing,fixed,-1,,
%,случае,СЛУЧАЙ,NOUN,Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing,fixed,2,,
##,,,,,,,,
ни много ни мало,ADV Degree=Pos,,,,,,,
%,ни,НИ,PART,Polarity=Neg,advmod,-2,,
%,много,МНОГО,ADV,Degree=Pos,fixed,0,,
%,ни,НИ,PART,Polarity=Neg,fixed,1,,
%,мало,МАЛО,ADV,Degree=Pos,fixed,1,,
##,,,,,,,,
ни разу,ADV Degree=Pos,,,,,,,
%,ни,НИ,PART,Polarity=Neg,advmod,0,,
%,разу,РАЗ,NOUN,Animacy=Inan|Case=Par|Gender=Masc|Number=Sing,fixed,1,,
##,,,,,,,,
ни шатко ни валко,ADV Degree=Pos,,,,,,,
%,ни,НИ,PART,Polarity=Neg,advmod,-2,,
%,шатко,ШАТКО,ADV,Degree=Pos,fixed,0,,
%,ни,НИ,PART,Polarity=Neg,fixed,1,,
%,валко,ВАЛКО,ADV,Degree=Pos,fixed,1,,
##,,,,,,,,
никоим образом,ADV Degree=Pos,,,,,,,
%,никоим,НИКОЙ,DET,Case=Ins|Gender=Masc|Number=Sing,advmod,-1,,
%,образом,ОБРАЗ,NOUN,Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing,fixed,0,,
##,,,,,,,,
нон грата,ADV Degree=Pos,,,,,,,
%,нон,НОН,PART,_,amod,-1,,
%,грата,ГРАТА,ADJ,_,fixed,0,,
##,,,,,,,,
ну и,PART,,,,,,,
%,ну,НУ,PART,_,discourse,-1,,
%,и,И,CCONJ,_,fixed,0,,
##,,,,,,,,
ну и,INTJ,,,,,,,
%,ну,НУ,PART,_,parataxis,-1,,
